date,day_of_week,entry_time,entry_hour,direction,fvg_type,entry_price,stop_price,target_price,exit_price,outcome,pnl,fc_bullish,fc_range_pct,fc_body_ratio,fvg_size_pct,risk_pct,max_favorable_r,max_adverse_r,time_in_trade_min,aligned_with_fc,aligned_with_day,day_bullish,day_range_pct,fc_range_bucket,fc_body_bucket
2021-01-25,Monday,10:52,10,LONG,bullish,879.15,873.47,910.36,873.47,LOSS,-1000.0,False,0.808,0.377,0.656,0.646,0.25,2.28,6,False,True,True,7.229,0.5-1%,30-50%
2021-01-26,Tuesday,09:53,9,SHORT,bearish,882.43,885.0,868.29,885.0,LOSS,-1000.0,False,1.213,0.231,0.2,0.291,0.05,1.08,2,True,False,True,2.763,1-1.5%,<30%
2021-01-27,Wednesday,09:58,9,LONG,bullish,875.19,870.71,899.84,870.71,LOSS,-1000.0,True,0.97,0.109,0.041,0.512,3.64,1.16,291,True,False,False,10.477,0.5-1%,<30%
2021-01-28,Thursday,10:28,10,LONG,bullish,825.99,822.78,843.65,843.65,WIN,5500.0,False,2.588,0.029,0.783,0.389,5.75,0.31,24,False,True,True,6.597,2-3%,<30%
2021-01-29,Friday,10:19,10,SHORT,bearish,823.46,826.09,808.96,826.09,LOSS,-1000.0,True,1.77,0.715,0.146,0.32,0.0,1.08,1,False,True,False,7.565,1.5-2%,>70%
2021-02-01,Monday,11:35,11,LONG,bullish,822.42,818.68,842.99,840.0,TIMEOUT,4700.69,True,2.02,0.666,0.062,0.455,5.24,0.44,429,True,True,True,5.719,2-3%,50-70%
2021-02-02,Tuesday,09:55,9,LONG,bullish,861.28,856.6,887.05,878.0,TIMEOUT,3568.66,True,0.838,0.206,0.31,0.544,4.1,0.87,533,True,True,True,5.74,0.5-1%,<30%
2021-02-03,Wednesday,10:06,10,SHORT,bearish,867.58,869.74,855.7,855.7,WIN,5500.0,False,0.918,0.789,0.197,0.249,5.76,0.0,20,True,True,False,3.376,0.5-1%,>70%
2021-02-04,Thursday,14:58,14,SHORT,bearish,847.11,847.87,842.93,847.87,LOSS,-1000.0,False,1.073,0.57,0.077,0.09,0.64,2.35,5,True,True,False,3.122,1-1.5%,50-70%
2021-02-05,Friday,10:06,10,LONG,bullish,842.69,841.53,849.09,841.53,LOSS,-1000.0,False,0.867,0.546,0.024,0.138,0.49,1.57,3,False,True,True,3.032,0.5-1%,50-70%
2021-02-08,Monday,09:59,9,SHORT,bearish,865.69,867.79,854.14,867.79,LOSS,-1000.0,True,1.132,0.404,0.196,0.243,1.35,1.01,5,False,False,True,4.356,1-1.5%,30-50%
2021-02-09,Tuesday,09:52,9,SHORT,bearish,851.92,853.75,841.85,853.75,LOSS,-1000.0,True,0.756,0.414,0.231,0.215,0.78,1.17,5,False,True,False,2.51,0.5-1%,30-50%
2021-02-10,Wednesday,09:48,9,SHORT,bearish,834.83,838.32,815.63,815.63,WIN,5500.0,False,0.769,0.396,0.251,0.418,5.65,0.77,32,True,True,False,5.984,0.5-1%,30-50%
2021-02-11,Thursday,09:45,9,LONG,bullish,825.84,821.15,851.64,821.15,LOSS,-1000.0,True,1.081,0.328,0.784,0.568,0.86,1.0,16,True,False,False,3.44,1-1.5%,30-50%
2021-02-12,Friday,10:11,10,LONG,bullish,795.81,794.51,802.96,794.51,LOSS,-1000.0,False,1.747,0.59,0.011,0.163,2.55,2.01,5,False,True,True,3.952,1.5-2%,50-70%
2021-02-16,Tuesday,09:49,9,SHORT,bearish,812.32,815.14,796.81,815.14,LOSS,-1000.0,False,0.653,0.316,0.196,0.347,0.25,1.62,6,True,True,False,4.117,0.5-1%,30-50%
2021-02-17,Wednesday,11:30,11,LONG,bullish,773.27,770.53,788.31,770.53,LOSS,-1000.0,False,2.308,0.53,0.14,0.354,0.0,1.56,3,False,True,True,4.789,2-3%,50-70%
2021-02-18,Thursday,11:59,11,LONG,bullish,787.65,786.81,792.27,786.81,LOSS,-1000.0,True,0.968,0.268,0.187,0.107,0.26,1.07,2,True,False,False,2.364,0.5-1%,<30%
2021-02-19,Friday,10:00,10,SHORT,bearish,791.24,792.79,782.72,792.79,LOSS,-1000.0,False,0.71,0.337,0.011,0.196,3.57,1.08,96,True,True,False,3.232,0.5-1%,30-50%
2021-02-22,Monday,10:09,10,LONG,bullish,759.06,757.0,770.39,757.0,LOSS,-1000.0,False,1.538,0.698,0.173,0.271,2.13,1.34,11,False,False,False,7.793,1.5-2%,50-70%
2021-02-23,Tuesday,09:45,9,SHORT,bearish,627.23,641.0,551.5,641.0,LOSS,-1000.0,False,3.41,0.292,0.358,2.195,0.6,1.01,8,True,False,True,14.528,>3%,<30%
2021-02-24,Wednesday,10:27,10,LONG,bullish,712.47,708.92,732.0,708.92,LOSS,-1000.0,True,2.64,0.419,0.188,0.498,0.06,1.26,3,True,True,True,7.06,2-3%,30-50%
2021-02-25,Thursday,10:24,10,SHORT,bearish,725.19,728.98,704.35,704.35,WIN,5500.0,True,1.5,0.093,0.194,0.523,5.85,0.14,83,False,True,False,11.736,1-1.5%,<30%
2021-02-26,Friday,09:45,9,SHORT,bearish,689.62,694.99,660.09,694.99,LOSS,-1000.0,False,1.597,0.084,0.455,0.779,0.12,1.23,2,True,True,False,6.96,1.5-2%,<30%
2021-03-01,Monday,09:59,9,LONG,bullish,695.49,692.65,711.09,692.65,LOSS,-1000.0,True,0.995,0.685,0.251,0.408,0.53,1.19,1,True,True,True,5.832,0.5-1%,50-70%
2021-03-02,Tuesday,11:01,11,SHORT,bearish,708.79,711.42,694.33,711.42,LOSS,-1000.0,False,1.061,0.121,0.153,0.371,0.57,1.5,5,True,True,False,5.352,1-1.5%,<30%
2021-03-03,Wednesday,11:17,11,LONG,bullish,689.07,687.15,699.63,687.15,LOSS,-1000.0,True,1.009,0.359,0.139,0.279,2.57,1.28,20,True,False,False,7.637,1-1.5%,30-50%
2021-03-04,Thursday,11:05,11,SHORT,bearish,650.91,654.41,631.69,631.69,WIN,5500.0,True,1.965,0.763,0.151,0.537,5.74,0.56,66,False,True,False,10.453,1.5-2%,>70%
2021-03-05,Friday,15:02,15,SHORT,bearish,601.63,604.71,584.69,596.52,TIMEOUT,1659.09,False,2.5,0.828,0.031,0.512,2.89,0.53,169,True,True,False,15.189,2-3%,>70%
2021-03-08,Monday,10:00,10,LONG,bullish,596.56,592.09,621.14,592.09,LOSS,-1000.0,False,2.85,0.746,0.083,0.749,0.53,1.47,3,False,False,False,11.338,2-3%,>70%
2021-03-09,Tuesday,10:15,10,LONG,bullish,618.98,615.0,640.84,640.84,WIN,5500.0,False,2.287,0.241,0.171,0.642,5.91,0.3,72,False,True,True,20.115,2-3%,<30%
2021-03-10,Wednesday,09:47,9,SHORT,bearish,699.95,705.22,670.97,705.22,LOSS,-1000.0,True,2.732,0.575,0.26,0.753,0.54,1.43,4,False,True,False,9.079,2-3%,50-70%
2021-03-11,Thursday,11:40,11,LONG,bullish,691.71,689.41,704.37,689.41,LOSS,-1000.0,False,1.392,0.297,0.225,0.333,2.16,1.4,13,False,True,True,4.164,1-1.5%,<30%
2021-03-12,Friday,10:41,10,SHORT,bearish,676.15,677.94,666.3,677.94,LOSS,-1000.0,True,1.398,0.543,0.074,0.265,0.49,1.31,2,False,False,True,4.424,1-1.5%,50-70%
2021-03-15,Monday,11:24,11,LONG,bullish,699.16,697.48,708.4,697.48,LOSS,-1000.0,False,1.28,0.51,0.326,0.24,0.01,2.11,2,False,True,True,4.224,1-1.5%,50-70%
2021-03-16,Tuesday,12:06,12,LONG,bullish,699.79,699.0,704.13,699.0,LOSS,-1000.0,False,0.774,0.276,0.122,0.113,0.27,2.01,2,False,False,False,5.628,0.5-1%,<30%
2021-03-17,Wednesday,13:06,13,LONG,bullish,669.7,668.2,677.92,668.2,LOSS,-1000.0,False,1.858,0.16,0.069,0.223,0.0,1.52,2,False,True,True,7.963,1.5-2%,<30%
2021-03-18,Thursday,09:50,9,SHORT,bearish,675.91,679.35,656.99,679.35,LOSS,-1000.0,False,1.081,0.069,0.194,0.509,0.0,1.16,1,True,True,False,6.149,1-1.5%,<30%
2021-03-19,Friday,10:00,10,SHORT,bearish,637.46,639.99,623.55,639.99,LOSS,-1000.0,True,1.747,0.158,0.452,0.397,5.08,1.12,25,False,False,True,6.751,1.5-2%,<30%
2021-03-22,Monday,09:46,9,SHORT,bearish,683.1,686.4,664.92,686.4,LOSS,-1000.0,True,1.674,0.556,0.294,0.484,0.63,1.17,4,False,False,True,6.76,1.5-2%,50-70%
2021-03-23,Tuesday,09:48,9,SHORT,bearish,666.21,669.4,648.67,669.4,LOSS,-1000.0,False,1.295,0.847,0.053,0.479,0.27,1.44,6,True,True,False,3.601,1-1.5%,>70%
2021-03-24,Wednesday,11:22,11,LONG,bullish,661.47,659.01,675.0,659.01,LOSS,-1000.0,False,0.988,0.863,0.021,0.372,1.93,1.17,28,False,False,False,6.928,0.5-1%,>70%
2021-03-25,Thursday,09:53,9,LONG,bullish,621.45,617.97,640.59,617.97,LOSS,-1000.0,True,2.22,0.175,0.614,0.56,4.96,1.05,64,True,True,True,6.475,2-3%,<30%
2021-03-26,Friday,09:51,9,SHORT,bearish,638.09,639.87,628.28,639.87,LOSS,-1000.0,False,1.153,0.36,0.193,0.279,2.24,1.15,13,True,True,False,7.996,1-1.5%,30-50%
2021-03-29,Monday,13:28,13,SHORT,bearish,609.65,612.2,595.62,612.2,LOSS,-1000.0,False,0.928,0.494,0.051,0.419,1.74,1.31,104,True,True,False,4.276,0.5-1%,30-50%
2021-03-30,Tuesday,10:11,10,LONG,bullish,600.77,597.33,619.69,619.69,WIN,5500.0,False,1.733,0.499,0.067,0.573,5.72,0.89,59,False,True,True,8.084,1.5-2%,30-50%
2021-03-31,Wednesday,09:50,9,SHORT,bearish,649.18,651.0,639.2,651.0,LOSS,-1000.0,True,1.146,0.074,0.361,0.28,3.03,1.28,11,False,False,True,7.011,1-1.5%,<30%
2021-04-01,Thursday,10:39,10,SHORT,bearish,681.54,682.58,675.82,682.58,LOSS,-1000.0,False,1.042,0.527,0.051,0.153,1.67,1.67,2,True,True,False,5.095,1-1.5%,50-70%
2021-04-05,Monday,09:54,9,SHORT,bearish,698.8,702.0,681.21,702.0,LOSS,-1000.0,False,1.158,0.518,0.15,0.458,4.41,1.02,278,True,True,False,4.571,1-1.5%,50-70%
2021-04-06,Tuesday,13:32,13,LONG,bullish,687.12,685.83,694.17,694.17,WIN,5500.0,False,0.603,0.858,0.034,0.187,5.79,0.22,50,False,True,True,2.198,0.5-1%,>70%
2021-04-07,Wednesday,10:09,10,LONG,bullish,687.87,686.33,696.37,686.33,LOSS,-1000.0,False,0.705,0.913,0.029,0.225,2.27,1.2,47,False,False,False,3.682,0.5-1%,>70%
2021-04-08,Thursday,09:56,9,LONG,bullish,678.78,674.82,700.57,686.77,TIMEOUT,2017.07,False,0.703,0.5,0.207,0.584,2.72,0.36,510,False,True,True,2.637,0.5-1%,30-50%
2021-04-09,Friday,10:36,10,LONG,bullish,677.5,676.15,684.96,676.15,LOSS,-1000.0,False,0.813,0.569,0.01,0.2,0.17,1.22,3,False,False,False,2.639,0.5-1%,50-70%
2021-04-12,Monday,09:45,9,LONG,bullish,694.58,691.21,713.12,691.21,LOSS,-1000.0,False,0.717,0.404,0.082,0.485,0.57,1.23,5,False,True,True,3.805,0.5-1%,30-50%
2021-04-13,Tuesday,09:58,9,LONG,bullish,724.86,723.4,732.89,732.89,WIN,5500.0,True,1.596,0.579,0.108,0.201,5.97,0.44,34,True,True,True,8.489,1.5-2%,50-70%
