date,day_of_week,entry_time,entry_hour,direction,fvg_type,entry_price,stop_price,target_price,exit_price,outcome,pnl,fc_bullish,fc_range_pct,fc_body_ratio,fvg_size_pct,risk_pct,max_favorable_r,max_adverse_r,time_in_trade_min,aligned_with_fc,aligned_with_day,day_bullish,day_range_pct,fc_range_bucket,fc_body_bucket
2019-01-02,Wednesday,09:48,9,LONG,bullish,302.01,300.5,310.31,310.31,WIN,5500.0,False,2.397,0.298,0.379,0.5,5.59,0.26,108,False,False,False,10.429,2-3%,<30%
2019-01-03,Thursday,09:46,9,SHORT,bearish,304.48,305.51,298.82,298.82,WIN,5500.0,False,1.432,0.18,0.386,0.338,6.29,0.24,51,True,True,False,3.922,1-1.5%,<30%
2019-01-04,Friday,09:43,9,LONG,bullish,307.56,305.89,316.76,305.89,LOSS,-1000.0,False,1.51,0.228,0.248,0.544,0.38,1.12,12,False,True,True,5.015,1.5-2%,<30%
2019-01-07,Monday,09:40,9,LONG,bullish,322.66,320.66,333.66,333.66,WIN,5500.0,False,1.341,0.182,0.222,0.62,5.61,0.0,89,False,True,True,5.934,1-1.5%,<30%
2019-01-08,Tuesday,10:07,10,SHORT,bearish,337.42,338.73,330.22,330.22,WIN,5500.0,False,0.993,0.354,0.059,0.388,5.6,0.15,26,True,False,True,5.367,0.5-1%,30-50%
2019-01-09,Wednesday,10:48,10,LONG,bullish,336.32,335.55,340.53,335.55,LOSS,-1000.0,False,1.497,0.335,0.118,0.228,0.87,1.04,9,False,True,True,3.73,1-1.5%,30-50%
2019-01-10,Thursday,10:07,10,LONG,bullish,335.52,334.6,340.57,334.6,LOSS,-1000.0,False,0.947,0.079,0.14,0.274,1.45,1.33,9,False,True,True,4.05,0.5-1%,<30%
2019-01-11,Friday,10:21,10,SHORT,bearish,341.66,342.74,335.72,342.74,LOSS,-1000.0,True,0.861,0.176,0.108,0.316,1.33,1.06,43,False,False,True,2.802,0.5-1%,<30%
2019-01-14,Monday,09:55,9,SHORT,bearish,337.11,338.28,330.68,338.28,LOSS,-1000.0,False,1.246,0.58,0.183,0.347,1.49,1.02,14,True,True,False,2.932,1-1.5%,50-70%
2019-01-15,Tuesday,14:35,14,LONG,bullish,341.99,341.53,344.52,341.53,LOSS,-1000.0,True,0.996,0.627,0.02,0.135,0.0,1.02,2,True,True,True,4.251,0.5-1%,50-70%
2019-01-16,Wednesday,09:58,9,LONG,bullish,349.91,348.62,357.01,348.62,LOSS,-1000.0,True,1.257,0.529,0.166,0.369,1.59,1.54,29,True,True,True,2.465,1-1.5%,50-70%
2019-01-17,Thursday,12:57,12,LONG,bullish,346.39,346.28,347.01,346.28,LOSS,-1000.0,False,0.663,0.611,0.009,0.032,0.0,3.02,1,False,True,True,2.237,0.5-1%,50-70%
2019-01-18,Friday,10:38,10,SHORT,bearish,316.51,317.85,309.11,309.11,WIN,5500.0,True,1.559,0.219,0.148,0.425,5.54,0.49,148,False,True,False,14.363,1.5-2%,<30%
2019-01-22,Tuesday,11:19,11,SHORT,bearish,302.15,302.91,297.97,297.97,WIN,5500.0,True,1.63,0.273,0.112,0.252,5.86,0.68,139,False,True,False,4.276,1.5-2%,<30%
2019-01-23,Wednesday,12:07,12,SHORT,bearish,287.27,288.87,278.48,287.57,TIMEOUT,-185.76,False,1.972,0.486,0.439,0.557,3.49,0.68,304,True,True,False,4.789,1.5-2%,30-50%
2019-01-24,Thursday,10:02,10,LONG,bullish,285.9,284.61,293.0,293.0,WIN,5500.0,False,1.657,0.566,0.465,0.452,5.53,0.86,245,False,True,True,5.003,1.5-2%,50-70%
2019-01-25,Friday,11:27,11,SHORT,bearish,292.57,293.19,289.15,293.19,LOSS,-1000.0,False,0.929,0.317,0.061,0.213,0.9,1.22,10,True,False,True,3.072,0.5-1%,30-50%
2019-01-28,Monday,09:54,9,SHORT,bearish,289.19,290.07,284.37,290.07,LOSS,-1000.0,False,0.763,0.623,0.169,0.303,1.64,1.2,14,True,True,False,3.386,0.5-1%,50-70%
2019-01-29,Tuesday,09:54,9,SHORT,bearish,296.25,296.6,294.33,296.6,LOSS,-1000.0,True,1.538,0.565,0.084,0.118,2.15,1.4,7,False,False,True,2.429,1.5-2%,50-70%
2019-01-30,Wednesday,09:52,9,LONG,bullish,302.68,301.88,307.08,301.88,LOSS,-1000.0,False,0.83,0.036,0.232,0.264,0.19,1.94,4,False,False,False,9.185,0.5-1%,<30%
2019-01-31,Thursday,11:42,11,LONG,bullish,304.86,304.05,309.31,304.05,LOSS,-1000.0,False,2.498,0.178,0.266,0.266,0.51,1.4,2,False,True,True,6.556,2-3%,<30%
2019-02-01,Friday,10:00,10,LONG,bullish,308.74,308.08,312.38,312.38,WIN,5500.0,False,0.739,0.269,0.213,0.214,6.05,0.51,8,False,True,True,4.118,0.5-1%,<30%
2019-02-04,Monday,09:43,9,LONG,bullish,306.86,305.0,317.06,312.32,TIMEOUT,2945.03,False,1.864,0.867,0.146,0.605,4.55,0.64,417,False,True,True,4.315,1.5-2%,>70%
2019-02-05,Tuesday,10:02,10,SHORT,bearish,316.05,317.29,309.23,317.29,LOSS,-1000.0,True,1.32,0.884,0.139,0.392,0.62,1.37,13,False,False,True,3.482,1-1.5%,>70%
2019-02-06,Wednesday,09:53,9,LONG,bullish,323.0,321.88,329.16,321.88,LOSS,-1000.0,True,1.305,0.876,0.118,0.347,0.45,1.34,9,True,False,False,2.681,1-1.5%,>70%
2019-02-07,Thursday,09:55,9,LONG,bullish,311.55,310.64,316.52,310.64,LOSS,-1000.0,True,0.862,0.196,0.135,0.291,2.16,1.38,41,True,False,False,4.18,0.5-1%,<30%
2019-02-08,Friday,09:48,9,SHORT,bearish,302.38,303.17,298.02,303.17,LOSS,-1000.0,False,1.278,0.548,0.203,0.262,4.89,1.81,181,True,False,True,3.102,1-1.5%,50-70%
