date,day_of_week,entry_time,entry_hour,direction,fvg_type,entry_price,stop_price,target_price,exit_price,outcome,pnl,fc_bullish,fc_range_pct,fc_body_ratio,fvg_size_pct,risk_pct,max_favorable_r,max_adverse_r,time_in_trade_min,aligned_with_fc,aligned_with_day,day_bullish,day_range_pct,fc_range_bucket,fc_body_bucket
2023-02-27,Monday,10:03,10,LONG,bullish,206.1,205.44,209.73,205.44,LOSS,-1000.0,True,1.543,0.537,0.19,0.32,3.21,1.14,37,True,True,True,6.939,1.5-2%,50-70%
2023-02-28,Tuesday,14:05,14,SHORT,bearish,208.22,208.81,205.01,208.81,LOSS,-1000.0,False,1.195,0.673,0.162,0.281,0.04,1.32,2,True,True,False,4.253,1-1.5%,50-70%
2023-03-01,Wednesday,10:00,10,SHORT,bearish,202.41,202.83,200.09,202.83,LOSS,-1000.0,False,1.596,0.606,0.286,0.208,1.38,1.31,1,True,True,False,9.655,1.5-2%,50-70%
2023-03-02,Thursday,11:55,11,LONG,bullish,188.3,188.0,189.95,189.95,WIN,5500.0,True,1.748,0.73,0.165,0.159,5.63,0.3,29,True,False,False,4.352,1.5-2%,>70%
2023-03-03,Friday,10:07,10,LONG,bullish,195.83,195.12,199.74,199.74,WIN,5500.0,False,0.886,0.506,0.138,0.363,5.52,0.73,161,False,True,True,5.043,0.5-1%,50-70%
2023-03-06,Monday,10:29,10,SHORT,bearish,196.05,196.69,192.53,196.69,LOSS,-1000.0,False,1.15,0.837,0.071,0.326,1.25,1.59,15,True,True,False,3.679,1-1.5%,>70%
2023-03-07,Tuesday,10:00,10,SHORT,bearish,189.2,190.37,182.77,190.37,LOSS,-1000.0,True,1.006,0.224,0.089,0.618,2.65,1.05,33,False,True,False,4.42,1-1.5%,<30%
2023-03-08,Wednesday,11:14,11,SHORT,bearish,182.66,182.87,181.52,182.87,LOSS,-1000.0,False,1.613,0.472,0.16,0.113,0.74,1.05,1,True,True,False,4.374,1.5-2%,30-50%
2023-03-09,Thursday,09:42,9,LONG,bullish,183.47,182.85,186.88,182.85,LOSS,-1000.0,True,1.418,0.859,0.044,0.338,2.76,1.05,21,True,False,False,8.662,1-1.5%,>70%
2023-03-10,Friday,09:43,9,SHORT,bearish,169.79,170.44,166.21,170.44,LOSS,-1000.0,False,1.904,0.729,0.157,0.383,0.14,1.06,2,True,False,True,5.732,1.5-2%,>70%
2023-03-13,Monday,09:57,9,LONG,bullish,169.67,168.45,176.38,168.45,LOSS,-1000.0,False,1.823,0.182,0.285,0.719,1.18,1.15,53,False,False,False,8.618,1.5-2%,<30%
2023-03-14,Tuesday,09:59,9,SHORT,bearish,180.53,180.99,178.03,180.99,LOSS,-1000.0,True,2.266,0.894,0.232,0.252,3.42,1.77,23,False,False,True,6.118,2-3%,>70%
2023-03-15,Wednesday,10:17,10,LONG,bullish,181.25,180.74,184.05,180.74,LOSS,-1000.0,False,1.55,0.175,0.127,0.281,0.67,1.4,1,False,False,False,5.22,1.5-2%,<30%
2023-03-16,Thursday,10:22,10,LONG,bullish,180.38,179.84,183.36,179.84,LOSS,-1000.0,False,1.014,0.338,0.194,0.3,1.08,1.06,12,False,True,True,3.851,1-1.5%,30-50%
2023-03-17,Friday,09:45,9,SHORT,bearish,182.87,183.47,179.61,183.47,LOSS,-1000.0,False,1.259,0.236,0.283,0.324,0.95,1.03,11,True,True,False,4.828,1-1.5%,<30%
2023-03-20,Monday,09:56,9,LONG,bullish,180.37,179.33,186.09,186.09,WIN,5500.0,False,1.435,0.324,0.537,0.577,5.54,0.31,35,False,True,True,5.752,1-1.5%,30-50%
2023-03-21,Tuesday,10:17,10,LONG,bullish,190.62,189.83,194.96,189.83,LOSS,-1000.0,True,1.153,0.271,0.132,0.414,0.48,1.07,7,True,True,True,7.9,1-1.5%,<30%
2023-03-22,Wednesday,14:11,14,SHORT,bearish,197.89,198.8,192.89,198.8,LOSS,-1000.0,False,1.425,0.268,0.39,0.459,3.63,1.52,35,True,True,False,5.496,1-1.5%,<30%
2023-03-23,Thursday,10:00,10,LONG,bullish,197.97,197.4,201.09,197.4,LOSS,-1000.0,True,1.231,0.894,0.132,0.287,0.37,1.11,4,True,False,False,5.486,1-1.5%,>70%
2023-03-24,Friday,10:11,10,LONG,bullish,190.36,189.8,193.45,189.8,LOSS,-1000.0,False,1.113,0.54,0.069,0.295,2.47,1.09,10,False,False,False,3.675,1-1.5%,50-70%
2023-03-27,Monday,10:07,10,LONG,bullish,196.72,195.71,202.27,195.71,LOSS,-1000.0,True,1.137,0.827,0.148,0.513,0.21,1.26,9,True,True,True,4.095,1-1.5%,>70%
2023-03-28,Tuesday,09:41,9,SHORT,bearish,188.34,189.2,183.61,189.2,LOSS,-1000.0,False,1.288,0.569,0.259,0.457,0.57,1.31,8,True,True,False,4.429,1-1.5%,50-70%
2023-03-29,Wednesday,09:53,9,SHORT,bearish,194.03,194.62,190.78,194.62,LOSS,-1000.0,True,0.915,0.561,0.051,0.305,1.11,1.14,7,False,False,True,3.059,0.5-1%,50-70%
2023-03-30,Thursday,10:18,10,SHORT,bearish,195.09,195.58,192.36,195.58,LOSS,-1000.0,True,0.857,0.193,0.031,0.254,0.35,1.34,2,False,False,True,2.163,0.5-1%,<30%
2023-03-31,Friday,09:46,9,LONG,bullish,198.87,198.51,200.82,200.82,WIN,5500.0,True,0.692,0.372,0.086,0.179,6.44,0.46,64,True,True,True,6.47,0.5-1%,30-50%
2023-04-03,Monday,10:48,10,SHORT,bearish,196.14,196.68,193.19,193.19,WIN,5500.0,True,1.827,0.727,0.031,0.274,5.57,0.09,161,False,True,False,7.157,1.5-2%,>70%
2023-04-04,Tuesday,10:21,10,SHORT,bearish,193.73,194.97,186.91,192.75,TIMEOUT,790.32,True,1.151,0.497,0.308,0.64,2.75,0.27,569,False,True,False,4.331,1-1.5%,30-50%
2023-04-05,Wednesday,10:06,10,SHORT,bearish,187.32,187.95,183.86,187.95,LOSS,-1000.0,False,0.716,0.489,0.08,0.336,0.1,1.06,2,True,True,False,5.324,0.5-1%,30-50%
2023-04-06,Thursday,10:05,10,LONG,bullish,183.55,182.45,189.6,185.0,TIMEOUT,1319.15,False,1.989,0.724,0.379,0.599,2.58,0.75,581,False,True,True,4.037,1.5-2%,>70%
2023-04-10,Monday,10:24,10,LONG,bullish,178.43,177.98,180.91,177.98,LOSS,-1000.0,False,1.905,0.745,0.281,0.252,0.07,1.04,3,False,True,True,5.333,1.5-2%,>70%
2023-04-11,Tuesday,10:15,10,SHORT,bearish,186.15,186.8,182.58,186.8,LOSS,-1000.0,True,1.225,0.52,0.107,0.349,0.77,1.0,8,False,False,True,2.732,1-1.5%,50-70%
2023-04-12,Wednesday,09:46,9,SHORT,bearish,188.23,189.07,183.61,183.61,WIN,5500.0,False,1.041,0.494,0.138,0.446,5.58,0.45,69,True,True,False,6.353,1-1.5%,30-50%
2023-04-13,Thursday,10:07,10,LONG,bullish,184.5,183.66,189.12,185.95,TIMEOUT,1726.19,False,1.047,0.314,0.022,0.455,2.38,0.95,569,False,True,True,3.404,1-1.5%,30-50%
2023-04-14,Friday,09:39,9,LONG,bullish,184.45,183.58,189.23,183.58,LOSS,-1000.0,False,1.119,0.581,0.049,0.472,0.01,1.09,2,False,False,False,2.46,1-1.5%,50-70%
2023-04-17,Monday,15:23,15,LONG,bullish,186.57,186.37,187.67,186.37,LOSS,-1000.0,False,0.891,0.247,0.241,0.107,0.15,1.85,2,False,True,True,3.782,0.5-1%,<30%
2023-04-18,Tuesday,09:58,9,SHORT,bearish,185.2,186.42,178.52,184.04,TIMEOUT,957.37,False,0.695,0.208,0.102,0.656,1.34,0.68,593,True,True,False,2.678,0.5-1%,<30%
2023-04-19,Wednesday,09:47,9,LONG,bullish,179.95,179.44,182.75,179.44,LOSS,-1000.0,True,1.136,0.227,0.078,0.283,1.37,1.02,4,True,False,False,7.951,1-1.5%,<30%
2023-04-20,Thursday,10:12,10,SHORT,bearish,167.6,168.27,163.92,168.27,LOSS,-1000.0,True,1.706,0.398,0.167,0.4,0.39,1.01,3,False,True,False,6.435,1.5-2%,30-50%
