timestamp,Open,High,Low,Close,Volume
2026-01-14 00:00:00+00:00,693.35,693.35,693.28,693.29,2023
2026-01-14 00:01:00+00:00,693.53,693.55,693.53,693.55,521
2026-01-14 00:02:00+00:00,693.61,693.6991,693.61,693.6991,1288
2026-01-14 00:03:00+00:00,693.5618,693.5618,693.4107,693.4107,693
2026-01-14 00:04:00+00:00,693.44,693.45,693.4,693.4,374
2026-01-14 00:05:00+00:00,693.55,693.7,693.55,693.66,2654
2026-01-14 00:06:00+00:00,693.6303,693.6303,693.56,693.56,255
2026-01-14 00:07:00+00:00,693.54,693.54,693.5,693.5,841
2026-01-14 00:08:00+00:00,693.5,693.63,693.5,693.63,430
2026-01-14 00:09:00+00:00,693.6111,693.6115,693.6111,693.6115,188
2026-01-14 00:11:00+00:00,693.69,693.69,693.69,693.69,126
2026-01-14 00:12:00+00:00,693.71,693.82,693.71,693.82,2552
2026-01-14 00:13:00+00:00,693.83,693.83,693.79,693.7946,335
2026-01-14 00:14:00+00:00,693.77,693.77,693.7,693.74,293
2026-01-14 00:15:00+00:00,693.8,693.8,693.77,693.77,207
2026-01-14 00:17:00+00:00,693.69,693.69,693.69,693.69,62
2026-01-14 00:20:00+00:00,693.74,693.86,693.74,693.81,3011
2026-01-14 00:21:00+00:00,693.7801,693.82,693.73,693.73,692
2026-01-14 00:22:00+00:00,693.73,693.78,693.73,693.78,900
2026-01-14 00:24:00+00:00,693.7886,693.7886,693.7886,693.7886,100
2026-01-14 00:26:00+00:00,693.7714,693.7714,693.7714,693.7714,218
2026-01-14 00:28:00+00:00,693.8216,693.8218,693.79,693.79,525
2026-01-14 00:29:00+00:00,693.82,693.82,693.82,693.82,203
2026-01-14 00:30:00+00:00,693.84,693.85,693.84,693.85,195
2026-01-14 00:31:00+00:00,693.8001,693.8328,693.79,693.79,608
2026-01-14 00:32:00+00:00,693.77,693.77,693.77,693.77,257
2026-01-14 00:33:00+00:00,693.7199,693.79,693.7199,693.79,837
2026-01-14 00:34:00+00:00,693.7201,693.7201,693.7201,693.7201,305
2026-01-14 00:35:00+00:00,693.7199,693.7199,693.7,693.7,221
2026-01-14 00:36:00+00:00,693.7,693.7,693.63,693.63,726
2026-01-14 00:37:00+00:00,693.69,693.69,693.67,693.67,209
2026-01-14 00:39:00+00:00,693.68,693.68,693.68,693.68,348
2026-01-14 00:40:00+00:00,693.69,693.69,693.6899,693.6899,164
2026-01-14 00:41:00+00:00,693.72,693.72,693.67,693.67,270
2026-01-14 00:42:00+00:00,693.63,693.669,693.57,693.57,1768
2026-01-14 00:45:00+00:00,693.64,693.67,693.64,693.67,120
2026-01-14 00:46:00+00:00,693.67,693.67,693.6512,693.6512,259
2026-01-14 00:48:00+00:00,693.67,693.67,693.67,693.67,147
2026-01-14 00:49:00+00:00,693.67,693.67,693.67,693.67,136
2026-01-14 00:50:00+00:00,693.69,693.69,693.67,693.67,225
2026-01-14 00:51:00+00:00,693.67,693.67,693.67,693.67,111
2026-01-14 00:52:00+00:00,693.64,693.64,693.64,693.64,224
2026-01-14 00:53:00+00:00,693.6707,693.73,693.6707,693.73,397
2026-01-14 00:54:00+00:00,693.7302,693.7302,693.72,693.72,499
2026-01-14 00:55:00+00:00,693.7225,693.75,693.72,693.75,730
2026-01-14 00:57:00+00:00,693.7,693.72,693.7,693.71,897
2026-01-14 00:58:00+00:00,693.71,693.71,693.69,693.69,1060
2026-01-14 00:59:00+00:00,693.6897,693.69,693.5987,693.5987,2186
2026-01-14 09:00:00+00:00,692.71,692.86,692.71,692.86,1951
2026-01-14 09:01:00+00:00,692.88,692.88,692.81,692.84,267
2026-01-14 09:03:00+00:00,692.79,692.83,692.79,692.83,426
2026-01-14 09:04:00+00:00,692.85,692.86,692.85,692.86,296
2026-01-14 09:05:00+00:00,692.88,692.89,692.84,692.88,1427
2026-01-14 09:06:00+00:00,692.85,692.97,692.85,692.97,781
2026-01-14 09:07:00+00:00,692.99,693.0,692.97,692.97,552
2026-01-14 09:08:00+00:00,693.03,693.03,692.97,692.98,435
2026-01-14 09:09:00+00:00,693.0,693.0,693.0,693.0,709
2026-01-14 09:10:00+00:00,693.06,693.13,693.06,693.13,638
2026-01-14 09:11:00+00:00,693.06,693.08,693.06,693.06,753
2026-01-14 09:12:00+00:00,693.02,693.05,693.0,693.03,1134
2026-01-14 09:13:00+00:00,693.01,693.01,693.01,693.01,152
2026-01-14 09:14:00+00:00,693.1,693.14,693.1,693.14,213
