timestamp,Open,High,Low,Close,Volume
2025-12-01 09:00:00+00:00,275.96,277.85,275.96,276.95,1197
2025-12-01 09:01:00+00:00,276.97,276.98,276.8,276.8,678
2025-12-01 09:03:00+00:00,276.94,276.97,276.94,276.97,648
2025-12-01 09:04:00+00:00,276.98,277.03,276.98,277.03,1077
2025-12-01 09:05:00+00:00,277.17,277.35,277.17,277.3,1501
2025-12-01 09:09:00+00:00,277.27,277.27,277.27,277.27,150
2025-12-01 09:13:00+00:00,277.19,277.19,277.19,277.19,818
2025-12-01 09:16:00+00:00,277.13,277.16,277.13,277.16,457
2025-12-01 09:20:00+00:00,277.01,277.01,276.99,276.99,730
2025-12-01 09:22:00+00:00,276.98,276.99,276.98,276.99,1464
2025-12-01 09:25:00+00:00,276.98,277.0,276.98,277.0,1100
2025-12-01 09:26:00+00:00,276.98,276.98,276.98,276.98,348
2025-12-01 09:32:00+00:00,276.8,276.8,276.8,276.8,433
2025-12-01 09:33:00+00:00,276.84,276.86,276.84,276.86,1031
2025-12-01 09:35:00+00:00,276.84,276.84,276.84,276.84,191
2025-12-01 09:39:00+00:00,276.8,276.8,276.8,276.8,449
2025-12-01 09:42:00+00:00,276.8,276.8,276.8,276.8,570
2025-12-01 09:45:00+00:00,276.83,276.89,276.83,276.89,1041
2025-12-01 09:48:00+00:00,276.86,276.86,276.85,276.85,565
2025-12-01 09:50:00+00:00,276.81,276.99,276.81,276.99,2846
2025-12-01 09:51:00+00:00,276.98,276.98,276.98,276.98,837
2025-12-01 09:52:00+00:00,276.94,276.99,276.94,276.99,2512
2025-12-01 09:55:00+00:00,277.08,277.1,277.08,277.1,777
2025-12-01 09:57:00+00:00,277.05,277.05,277.05,277.05,365
2025-12-01 10:02:00+00:00,277.25,277.25,277.25,277.25,285
2025-12-01 10:04:00+00:00,277.39,277.39,277.37,277.37,560
2025-12-01 10:05:00+00:00,277.45,277.45,277.45,277.45,190
2025-12-01 10:06:00+00:00,277.45,277.45,277.45,277.45,653
2025-12-01 10:13:00+00:00,277.43,277.5,277.43,277.5,4215
2025-12-01 10:14:00+00:00,277.46,277.46,277.46,277.46,153
2025-12-01 10:20:00+00:00,277.31,277.31,277.31,277.31,294
2025-12-01 10:24:00+00:00,277.32,277.32,277.32,277.32,1115
2025-12-01 10:31:00+00:00,277.33,277.33,277.33,277.33,350
2025-12-01 10:32:00+00:00,277.37,277.43,277.37,277.43,2277
2025-12-01 10:33:00+00:00,277.45,277.45,277.45,277.45,230
2025-12-01 10:35:00+00:00,277.48,277.48,277.41,277.41,475
2025-12-01 10:37:00+00:00,277.48,277.59,277.46,277.59,5136
2025-12-01 10:44:00+00:00,277.42,277.42,277.42,277.42,285
2025-12-01 11:00:00+00:00,277.25,277.25,277.25,277.25,796
2025-12-01 11:09:00+00:00,277.24,277.24,277.24,277.24,784
2025-12-01 11:17:00+00:00,277.26,277.26,277.26,277.26,210
2025-12-01 11:20:00+00:00,277.36,277.36,277.36,277.36,436
2025-12-01 11:24:00+00:00,277.36,277.36,277.36,277.36,570
2025-12-01 11:28:00+00:00,277.38,277.38,277.38,277.38,475
2025-12-01 11:29:00+00:00,277.34,277.36,277.3,277.3,1396
2025-12-01 11:31:00+00:00,277.47,277.47,277.47,277.47,415
2025-12-01 11:36:00+00:00,277.38,277.38,277.38,277.38,297
2025-12-01 11:37:00+00:00,277.42,277.42,277.4,277.4,738
2025-12-01 11:39:00+00:00,277.44,277.45,277.44,277.45,956
2025-12-01 11:48:00+00:00,277.49,277.49,277.49,277.49,155
2025-12-01 11:50:00+00:00,277.48,277.59,277.48,277.59,1247
2025-12-01 11:53:00+00:00,277.56,277.56,277.5,277.5,1809
2025-12-01 12:00:00+00:00,277.46,277.53,277.46,277.53,2061
2025-12-01 12:01:00+00:00,277.49,277.49,277.49,277.49,202
2025-12-01 12:03:00+00:00,277.4,277.41,277.38,277.41,1699
2025-12-01 12:04:00+00:00,277.41,277.41,277.11,277.11,3196
2025-12-01 12:11:00+00:00,277.18,277.18,277.17,277.18,1477
2025-12-01 12:12:00+00:00,277.01,277.02,277.01,277.02,734
2025-12-01 12:13:00+00:00,277.1,277.1,277.1,277.1,273
2025-12-01 12:14:00+00:00,277.1,277.1,277.1,277.1,469
2025-12-01 12:15:00+00:00,277.17,277.17,277.17,277.17,2344
2025-12-01 12:18:00+00:00,277.07,277.22,277.01,277.22,2615
2025-12-01 12:20:00+00:00,277.15,277.15,277.12,277.12,543
2025-12-01 12:22:00+00:00,277.08,277.08,277.08,277.08,347
2025-12-01 12:23:00+00:00,277.1,277.1,277.1,277.1,146
2025-12-01 12:24:00+00:00,277.09,277.09,277.09,277.09,277
2025-12-01 12:27:00+00:00,277.11,277.12,277.11,277.12,1020
2025-12-01 12:31:00+00:00,277.09,277.09,277.09,277.09,413
2025-12-01 12:33:00+00:00,277.13,277.17,277.09,277.09,1231
2025-12-01 12:34:00+00:00,277.08,277.08,277.07,277.07,468
2025-12-01 12:35:00+00:00,277.08,277.08,277.07,277.07,663
2025-12-01 12:39:00+00:00,277.19,277.19,277.19,277.19,279
2025-12-01 12:40:00+00:00,277.26,277.26,277.24,277.24,2333
2025-12-01 12:42:00+00:00,277.26,277.34,277.25,277.25,860
2025-12-01 12:46:00+00:00,277.29,277.3,277.29,277.29,464
2025-12-01 12:47:00+00:00,277.2,277.2,277.2,277.2,642
2025-12-01 12:48:00+00:00,277.13,277.13,277.1,277.1,1171
2025-12-01 12:49:00+00:00,277.1,277.1,277.1,277.1,643
2025-12-01 12:50:00+00:00,277.15,277.15,277.15,277.15,1130
2025-12-01 12:51:00+00:00,277.18,277.18,277.18,277.18,305
2025-12-01 12:54:00+00:00,277.25,277.25,277.25,277.25,275
2025-12-01 12:56:00+00:00,277.32,277.32,277.32,277.32,123
2025-12-01 12:57:00+00:00,277.29,277.29,277.29,277.29,204
2025-12-01 12:59:00+00:00,277.44,277.5,277.44,277.5,1348
2025-12-01 13:00:00+00:00,277.32,278.85,276.15,276.15,61103
2025-12-01 13:01:00+00:00,276.08,277.52,276.0,277.35,17720
2025-12-01 13:02:00+00:00,277.5,277.5,277.41,277.41,712
2025-12-01 13:03:00+00:00,277.42,277.42,277.42,277.42,2320
