timestamp,Open,High,Low,Close,Volume
2026-02-02 09:00:00+00:00,422.0,424.35,419.75,422.2,20223
2026-02-02 09:01:00+00:00,422.4,422.69,422.0,422.0,11103
2026-02-02 09:02:00+00:00,422.29,422.5,421.55,421.75,5462
2026-02-02 09:03:00+00:00,421.52,422.7,421.5,422.51,9360
2026-02-02 09:04:00+00:00,422.34,422.64,421.53,421.66,3625
2026-02-02 09:05:00+00:00,421.23,421.71,421.23,421.29,2980
2026-02-02 09:06:00+00:00,421.26,421.3,420.59,420.8,6657
2026-02-02 09:07:00+00:00,420.52,421.0,420.46,420.92,3787
2026-02-02 09:08:00+00:00,420.71,420.98,420.7,420.73,2999
2026-02-02 09:09:00+00:00,420.8,421.43,420.78,421.24,2568
2026-02-02 09:10:00+00:00,421.39,421.67,421.39,421.41,1426
2026-02-02 09:11:00+00:00,421.51,421.78,421.5,421.6,835
2026-02-02 09:12:00+00:00,421.59,421.8,421.55,421.56,1339
2026-02-02 09:13:00+00:00,421.49,421.62,421.15,421.15,2930
2026-02-02 09:14:00+00:00,421.21,421.5,420.92,421.49,3247
2026-02-02 09:15:00+00:00,421.39,421.44,421.18,421.2,2008
2026-02-02 09:16:00+00:00,421.28,421.49,421.04,421.04,1663
2026-02-02 09:17:00+00:00,421.37,421.37,421.32,421.32,426
2026-02-02 09:18:00+00:00,421.36,421.8,421.36,421.79,1198
2026-02-02 09:19:00+00:00,421.79,422.0,421.5,421.8,3607
2026-02-02 09:20:00+00:00,421.75,422.73,421.71,422.58,6682
2026-02-02 09:21:00+00:00,422.55,423.2,422.52,423.19,6807
2026-02-02 09:22:00+00:00,423.15,423.2,422.89,423.17,6005
2026-02-02 09:23:00+00:00,423.19,423.2,422.91,423.0,2782
2026-02-02 09:24:00+00:00,423.09,423.5,423.0,423.32,7511
2026-02-02 09:25:00+00:00,423.35,423.36,423.01,423.01,1526
2026-02-02 09:26:00+00:00,423.06,423.35,422.99,423.31,1705
2026-02-02 09:27:00+00:00,423.3,423.3,423.1,423.2,1477
2026-02-02 09:28:00+00:00,423.01,423.3,423.01,423.16,1939
2026-02-02 09:29:00+00:00,423.15,423.18,422.91,423.18,1243
2026-02-02 09:30:00+00:00,423.1,423.1,422.8,422.9,2718
2026-02-02 09:31:00+00:00,422.94,423.04,422.76,422.8,1331
2026-02-02 09:32:00+00:00,422.8,422.8,422.51,422.61,1689
2026-02-02 09:33:00+00:00,422.72,423.22,422.72,423.22,2327
2026-02-02 09:34:00+00:00,423.18,423.24,422.98,423.11,4146
2026-02-02 09:35:00+00:00,423.14,423.14,422.67,422.69,1803
2026-02-02 09:36:00+00:00,422.8,422.99,422.8,422.85,1431
2026-02-02 09:37:00+00:00,422.83,422.92,422.71,422.9,1314
2026-02-02 09:38:00+00:00,422.9,422.97,422.83,422.83,1592
2026-02-02 09:39:00+00:00,422.95,423.02,422.93,422.93,2306
2026-02-02 09:40:00+00:00,422.98,423.11,422.98,423.0,2026
2026-02-02 09:41:00+00:00,423.01,423.01,422.62,422.62,1621
2026-02-02 09:42:00+00:00,422.58,423.0,422.58,423.0,1040
2026-02-02 09:43:00+00:00,422.9,422.9,422.85,422.86,368
2026-02-02 09:44:00+00:00,422.9,422.9,422.9,422.9,387
2026-02-02 09:45:00+00:00,422.9,423.25,422.89,423.25,1570
2026-02-02 09:46:00+00:00,423.17,423.2,423.08,423.16,1794
2026-02-02 09:47:00+00:00,423.11,423.12,423.07,423.12,594
2026-02-02 09:48:00+00:00,423.1,423.29,423.1,423.29,2640
2026-02-02 09:49:00+00:00,423.19,423.22,423.19,423.21,648
2026-02-02 09:50:00+00:00,423.25,423.25,422.95,422.95,2857
2026-02-02 09:51:00+00:00,422.99,423.1,422.75,422.8,2371
2026-02-02 09:52:00+00:00,422.96,423.0,422.78,422.87,1490
2026-02-02 09:53:00+00:00,422.89,422.97,422.88,422.97,581
2026-02-02 09:54:00+00:00,422.88,422.94,422.88,422.94,643
2026-02-02 09:55:00+00:00,423.14,423.14,423.11,423.11,346
2026-02-02 09:56:00+00:00,422.9,422.97,422.9,422.92,626
2026-02-02 09:57:00+00:00,422.94,423.01,422.9,422.94,628
2026-02-02 09:58:00+00:00,423.0,423.1,422.9,422.94,1248
2026-02-02 09:59:00+00:00,422.8,422.81,422.75,422.8,599
2026-02-02 10:00:00+00:00,422.8,422.8,422.59,422.6,1645
2026-02-02 10:01:00+00:00,422.59,422.65,422.48,422.57,1869
2026-02-02 10:02:00+00:00,422.5,423.1,422.5,423.08,2667
2026-02-02 10:03:00+00:00,422.93,423.0,422.79,422.79,1877
2026-02-02 10:04:00+00:00,422.85,422.85,422.65,422.65,945
2026-02-02 10:05:00+00:00,422.68,422.78,422.65,422.65,2184
2026-02-02 10:06:00+00:00,422.68,422.68,422.68,422.68,312
2026-02-02 10:07:00+00:00,422.4,422.53,422.24,422.24,1190
2026-02-02 10:08:00+00:00,422.06,422.09,421.76,421.76,5180
2026-02-02 10:09:00+00:00,421.8,421.82,421.5,421.5,1918
2026-02-02 10:10:00+00:00,421.6,422.0,421.54,422.0,2362
2026-02-02 10:11:00+00:00,422.0,422.0,421.61,421.61,1899
2026-02-02 10:12:00+00:00,421.57,421.92,421.57,421.61,778
2026-02-02 10:13:00+00:00,421.6,422.13,421.6,422.01,1724
2026-02-02 10:15:00+00:00,422.11,422.14,422.11,422.14,1445
2026-02-02 10:16:00+00:00,422.2,422.28,422.08,422.09,1497
2026-02-02 10:17:00+00:00,422.04,422.04,421.83,421.99,988
2026-02-02 10:18:00+00:00,422.01,422.01,421.95,421.95,551
2026-02-02 10:19:00+00:00,421.83,421.86,421.8,421.83,4510
2026-02-02 10:20:00+00:00,421.9,421.91,421.83,421.91,476
2026-02-02 10:21:00+00:00,421.95,422.1,421.94,422.04,2928
2026-02-02 10:22:00+00:00,421.99,421.99,421.7,421.73,1369
2026-02-02 10:23:00+00:00,421.73,421.82,421.69,421.82,948
2026-02-02 10:24:00+00:00,421.7,421.7,421.7,421.7,330
2026-02-02 10:25:00+00:00,421.8,421.8,421.6,421.6,1051
2026-02-02 10:26:00+00:00,421.6,421.62,421.55,421.59,1643
2026-02-02 10:27:00+00:00,421.6,421.6,421.5,421.5,650
2026-02-02 10:29:00+00:00,421.51,421.65,421.48,421.65,1186
2026-02-02 10:30:00+00:00,421.71,421.9,421.71,421.86,1021
2026-02-02 10:31:00+00:00,421.92,422.01,421.85,422.01,1234
2026-02-02 10:32:00+00:00,421.86,421.86,421.85,421.86,571
2026-02-02 10:33:00+00:00,421.85,422.11,421.85,422.11,1216
2026-02-02 10:34:00+00:00,422.09,422.09,422.09,422.09,217
2026-02-02 10:35:00+00:00,422.0,422.07,421.85,421.85,4333
2026-02-02 10:36:00+00:00,421.85,421.85,421.46,421.46,2025
2026-02-02 10:37:00+00:00,421.53,421.66,421.3,421.31,1420
2026-02-02 10:38:00+00:00,421.4,421.44,421.4,421.4,663
2026-02-02 10:39:00+00:00,421.41,421.41,421.41,421.41,366
2026-02-02 10:40:00+00:00,421.4,421.4,421.4,421.4,415
2026-02-02 10:41:00+00:00,421.25,421.35,421.17,421.35,484
2026-02-02 10:42:00+00:00,421.3,421.33,421.17,421.18,1112
2026-02-02 10:43:00+00:00,421.11,421.14,420.9,421.1,6652
2026-02-02 10:44:00+00:00,420.99,421.01,420.99,421.01,478
2026-02-02 10:45:00+00:00,420.99,421.05,420.99,420.99,699
2026-02-02 10:46:00+00:00,420.93,420.93,420.7,420.7,3591
2026-02-02 10:47:00+00:00,420.64,420.7,420.64,420.68,793
2026-02-02 10:48:00+00:00,420.71,420.83,420.7,420.8,672
2026-02-02 10:49:00+00:00,420.93,421.0,420.93,420.97,1244
2026-02-02 10:50:00+00:00,421.0,421.0,420.99,421.0,764
2026-02-02 10:51:00+00:00,420.96,421.41,420.01,421.05,9821
2026-02-02 10:52:00+00:00,421.18,421.34,421.18,421.34,435
2026-02-02 10:53:00+00:00,421.3,421.48,421.25,421.48,808
2026-02-02 10:55:00+00:00,421.5,421.59,421.5,421.51,628
2026-02-02 10:56:00+00:00,421.28,421.28,421.12,421.13,1411
2026-02-02 10:57:00+00:00,421.2,421.2,421.0,421.01,888
2026-02-02 10:58:00+00:00,420.98,421.18,420.98,421.18,372
2026-02-02 10:59:00+00:00,421.08,421.22,421.08,421.22,464
2026-02-02 11:00:00+00:00,421.39,421.39,421.39,421.39,254
2026-02-02 11:01:00+00:00,421.3,421.8,421.3,421.6,4886
2026-02-02 11:02:00+00:00,421.3,421.5,421.3,421.5,364
2026-02-02 11:04:00+00:00,421.3,421.42,421.3,421.4,440
2026-02-02 11:05:00+00:00,421.35,421.39,421.3,421.3,576
2026-02-02 11:06:00+00:00,421.51,421.51,421.5,421.5,431
2026-02-02 11:07:00+00:00,421.79,421.84,421.79,421.8,620
2026-02-02 11:08:00+00:00,421.81,422.12,421.81,422.12,1958
2026-02-02 11:09:00+00:00,422.12,422.12,421.98,422.01,1109
2026-02-02 11:10:00+00:00,422.14,422.3,422.14,422.26,1494
2026-02-02 11:11:00+00:00,422.35,422.38,422.34,422.35,2199
2026-02-02 11:12:00+00:00,422.36,422.38,422.34,422.38,371
2026-02-02 11:13:00+00:00,422.38,422.38,422.24,422.24,365
2026-02-02 11:14:00+00:00,422.29,422.29,422.29,422.29,251
2026-02-02 11:15:00+00:00,422.25,422.3,422.25,422.3,339
2026-02-02 11:16:00+00:00,422.16,422.16,421.95,422.08,3541
2026-02-02 11:17:00+00:00,422.06,422.06,421.88,421.93,1081
2026-02-02 11:18:00+00:00,422.0,422.0,422.0,422.0,289
2026-02-02 11:19:00+00:00,422.18,422.24,422.1,422.24,861
2026-02-02 11:20:00+00:00,422.22,422.4,422.22,422.4,2260
2026-02-02 11:21:00+00:00,422.44,422.44,422.39,422.39,564
2026-02-02 11:22:00+00:00,422.29,422.29,422.19,422.19,544
2026-02-02 11:23:00+00:00,422.25,422.5,422.25,422.47,2263
2026-02-02 11:24:00+00:00,422.48,422.49,419.15,419.3,83845
2026-02-02 11:25:00+00:00,419.26,420.64,419.2,420.25,19448
2026-02-02 11:26:00+00:00,420.34,420.62,420.14,420.14,1688
2026-02-02 11:27:00+00:00,420.19,420.4,420.07,420.2,4779
2026-02-02 11:28:00+00:00,420.25,420.25,419.51,420.0,9087
2026-02-02 11:29:00+00:00,420.19,420.31,420.19,420.3,838
2026-02-02 11:30:00+00:00,420.24,421.04,420.22,420.95,9047
2026-02-02 11:31:00+00:00,420.73,420.73,420.69,420.69,563
2026-02-02 11:32:00+00:00,420.86,420.9,420.86,420.9,518
2026-02-02 11:33:00+00:00,420.93,420.93,420.26,420.47,2017
2026-02-02 11:34:00+00:00,420.47,420.7,420.36,420.61,2341
2026-02-02 11:35:00+00:00,420.69,421.0,420.69,420.99,2516
2026-02-02 11:36:00+00:00,420.99,421.2,420.86,421.2,2443
